entity-type,precision,recall,f1-score,support,domain
weighted avg,0.6444210626108918,0.6859107773052212,0.6595490563743306,11051.0,play
weighted avg,0.6849233872394636,0.782016348773842,0.7257430675346752,367.0,music
weighted avg,0.838413845401635,0.8469656992084432,0.8395352987722059,2274.0,takeaway
weighted avg,0.8447791468576238,0.8661752197334845,0.8528817643925092,3527.0,recommendation
weighted avg,0.8842463530960886,0.888835751102609,0.8850631655583968,18819.0,calendar
weighted avg,0.8900124064466604,0.8929207479964381,0.8888859077631315,4492.0,news
weighted avg,0.8812863150631544,0.9002644503211182,0.8890261485334504,2647.0,lists
weighted avg,0.8786749470180142,0.9058227848101266,0.8904924323020683,1975.0,cooking
weighted avg,0.909339470040502,0.9156422864167179,0.9120692306678356,6508.0,weather
weighted avg,0.9155453729065167,0.9210309278350516,0.9167678066859464,4850.0,iot
weighted avg,0.9191645385620768,0.9220138203356367,0.9185690970992486,4052.0,datetime
weighted avg,0.9181541735831577,0.9256137237503698,0.9197513374691757,6762.0,transport
weighted avg,0.9190507863212133,0.9217391304347826,0.9201871740661465,345.0,audio
weighted avg,0.9189111053118604,0.9238345370978333,0.9205447737685478,10661.0,qa
weighted avg,0.929787722011199,0.9355745324829748,0.9315256485846491,9251.0,email
weighted avg,0.9495211794614163,0.9509881422924901,0.9440996954066482,2530.0,alarm
