entity-type,precision,recall,f1-score,support
0,0.8740003984177125,0.9546478917020251,0.91254577734198,64341.0
alarm_type,0.0,0.0,0.0,26.0
app_name,0.9090909090909091,0.47619047619047616,0.6249999999999999,63.0
artist_name,0.3340961098398169,0.26071428571428573,0.2928786359077232,560.0
audiobook_author,0.0,0.0,0.0,22.0
audiobook_name,0.0,0.0,0.0,235.0
business_name,0.33613445378151263,0.16359918200409,0.22008253094910596,489.0
business_type,0.6011560693641619,0.29971181556195964,0.39999999999999997,347.0
change_amount,0.0,0.0,0.0,148.0
coffee_type,1.0,0.15555555555555556,0.2692307692307693,45.0
color_type,0.746268656716418,0.3067484662576687,0.4347826086956522,163.0
cooking_type,0.0,0.0,0.0,22.0
currency_name,0.0,0.0,0.0,864.0
date,0.8664375715922108,0.8822020060648472,0.8742487286176607,4287.0
definition_word,0.0,0.0,0.0,510.0
device_type,0.7769985974754559,0.7066326530612245,0.7401469605878424,784.0
drink_type,0.0,0.0,0.0,20.0
email_address,0.9741935483870968,0.9096385542168675,0.9408099688473519,166.0
email_folder,0.98,0.9245283018867925,0.9514563106796116,53.0
event_name,0.4754452239611441,0.3627006998764924,0.4114899579635684,2429.0
food_type,0.47572815533980584,0.2878120411160059,0.3586459286367795,681.0
game_name,0.0,0.0,0.0,239.0
game_type,0.0,0.0,0.0,3.0
general_frequency,0.7368421052631579,0.21875,0.3373493975903615,256.0
house_place,0.8419243986254296,0.5975609756097561,0.6990014265335235,410.0
ingredient,0.0,0.0,0.0,38.0
joke_type,0.9117647058823529,0.41333333333333333,0.5688073394495412,75.0
list_name,0.75,0.540796963946869,0.6284454244762955,527.0
meal_type,0.7647058823529411,0.65,0.7027027027027027,100.0
media_type,0.3116883116883117,0.1603563474387528,0.21176470588235294,449.0
movie_name,0.0,0.0,0.0,32.0
movie_type,0.0,0.0,0.0,19.0
music_album,0.0,0.0,0.0,7.0
music_descriptor,0.18181818181818182,0.061068702290076333,0.09142857142857143,131.0
music_genre,0.7631578947368421,0.6823529411764706,0.7204968944099379,340.0
news_topic,0.026288117770767613,0.04921259842519685,0.034270047978067174,508.0
order_type,0.7966101694915254,0.5164835164835165,0.6266666666666667,182.0
person,0.6121553884711779,0.5191285866099894,0.5618171362852215,1882.0
personal_info,0.6642857142857143,0.4793814432989691,0.5568862275449101,194.0
place_name,0.6177974769860212,0.6259067357512953,0.6218256691832533,2895.0
player_setting,0.4537037037037037,0.17562724014336917,0.2532299741602067,279.0
playlist_name,0.26582278481012656,0.1044776119402985,0.15,201.0
podcast_descriptor,0.0,0.0,0.0,269.0
podcast_name,0.020618556701030927,0.01092896174863388,0.014285714285714285,183.0
radio_name,0.0,0.0,0.0,914.0
relation,0.8359133126934984,0.6699751861042184,0.743801652892562,403.0
song_name,0.11126005361930295,0.14795008912655971,0.12700841622035194,561.0
sport_type,0.0,0.0,0.0,13.0
time,0.8124306326304107,0.8106312292358804,0.8115299334811531,2709.0
time_zone,0.45652173913043476,0.15789473684210525,0.23463687150837986,133.0
timeofday,0.8478260869565217,0.9048723897911833,0.8754208754208755,431.0
transport_agency,0.0,0.0,0.0,72.0
transport_descriptor,0.0,0.0,0.0,33.0
transport_name,0.0,0.0,0.0,52.0
transport_type,0.0,0.0,0.0,508.0
weather_descriptor,0.6241496598639455,0.5048143053645117,0.5581749049429656,727.0
accuracy,0.8132891448440726,0.8132891448440726,0.8132891448440726,0.8132891448440726
macro avg,0.388514903061565,0.28021760399766565,0.31358694161610107,92030.0
weighted avg,0.7760829969266523,0.8132891448440726,0.790815104492592,92030.0
